Symbol,RMSE,MSE,MAE,MAPE,R2,Accuracy,Precision,Recall,F1_Score
KHC,2.9006006957589454,8.413484396237278,2.123956120245828,6.369142255713095,-0.2274509735586698,50.898203592814376,70.39473684210526,47.34513274336283,56.61375661375661
KIM,1.903924527402707,3.624928606045621,1.8624344680505032,8.29511032021633,-0.405017519219901,49.700598802395206,65.74585635359117,52.888888888888886,58.620689655172406
KLAC,22.729999780102585,516.6528900034635,15.168581737255003,2.103152108106905,0.8794115778087543,44.91017964071856,63.33333333333333,49.137931034482754,55.33980582524271
KMB,2.304362565992147,5.310086835545913,1.7658002674005824,1.291841535788934,0.8223101913513332,54.79041916167665,73.07692307692307,56.59574468085107,63.78896882494005
KMI,2.9869412422722426,8.921817984786848,2.557987273009853,9.512731023037576,-0.0141086119363036,51.49700598802395,69.43005181347151,56.540084388185655,62.32558139534884
KMX,20.23198410898471,409.33318098620987,19.75358834850227,25.30309968964269,-8.22193588030487,51.19760479041916,65.14285714285715,52.77777777777778,58.31202046035806
KO,1.001758955377656,1.0035210046793328,0.8248080523049699,1.1995468982799549,0.9309741454464942,52.39520958083832,70.3030303030303,51.32743362831859,59.33503836317136
KR,16.027700527271502,256.8871841918992,15.835145541439308,26.065909295822586,-6.1469450065636,47.60479041916168,63.63636363636363,50.22421524663677,56.14035087719298
KSS,5.142001528942832,26.440179723650424,4.4511010264469615,42.21755432000439,-0.0219718030003037,44.91017964071856,57.35294117647059,38.23529411764706,45.88235294117647
L,1.4386288967775505,2.069653102643392,1.2242290271396008,1.470807408549232,0.8684420052614032,52.69461077844312,73.86363636363636,53.71900826446281,62.20095693779905
LEG,1.9676676238570607,3.871715877975293,1.6243555982444826,17.442356988237893,-0.039844510687115,53.89221556886228,62.5,63.10679611650486,62.80193236714976
LEN,3.285545288394696,10.794807842092585,2.659019489580128,1.8882928833586663,0.9794990037117344,48.20359281437126,61.72839506172839,47.39336492890995,53.61930294906166
LH,3.1908204490694514,10.181335138199776,2.251120270899864,0.9782578059618332,0.9379050750796956,48.80239520958084,65.68047337278107,49.55357142857143,56.48854961832062
LKQ,0.7119607380201451,0.5068880924821898,0.4372042941210871,1.0978466815463015,0.88294158007528,48.20359281437126,64.53488372093024,49.775784753363226,56.20253164556962
LLY,21.203788986503977,449.60066738418726,16.121421690682855,1.90873876687542,0.9041152716497836,49.700598802395206,65.26946107784431,49.77168949771689,56.47668393782384
LMT,25.441888904396663,647.2897110236621,19.483462142538706,3.65666979997577,0.7527824527720058,52.99401197604791,66.48936170212765,57.077625570776256,61.42506142506142
LNC,1.0671947047450476,1.1389045378358695,0.7981807967717953,2.4274855496742296,0.8099984496528073,53.89221556886228,71.03825136612022,56.27705627705628,62.80193236714976
LNT,1.1595759409714534,1.3446163628798318,0.8887829807996761,1.4886507674169238,0.837501689495438,53.59281437125748,70.15706806282722,57.75862068965517,63.35697399527187
LOW,3.5225672712181164,12.408480180257047,2.603576333971161,1.067740793752865,0.962617557595152,50.29940119760479,67.81609195402298,51.75438596491229,58.70646766169154
LRCX,2.489964093147629,6.199921185164496,1.9376522485249097,2.442801540724777,0.9261533603219992,46.10778443113773,62.048192771084345,46.81818181818182,53.36787564766839
LUV,9.406037850152348,88.47354803849859,8.970977786941036,29.13334348517431,-11.856502073227098,46.706586826347305,67.28395061728395,46.58119658119658,55.05050505050505
LYB,2.73961379198152,7.5054837292153636,1.6147449599293189,2.497430554598865,0.9588298236386726,50.0,63.05732484076433,47.59615384615385,54.24657534246575
MA,31.914986009026524,1018.5663319563588,28.64585972550737,5.448451378597972,0.3130951017012083,53.59281437125748,69.6078431372549,60.42553191489362,64.69248291571755
MAA,4.0661699236095386,16.5337378476668,3.132419292065636,2.008622712461108,0.6656525824248811,53.59281437125748,67.20430107526882,57.077625570776256,61.72839506172839
MAC,8.792919000573603,77.3154245506483,8.723372660238129,49.65661436994401,-13.573955451601051,47.60479041916168,64.64088397790056,51.31578947368421,57.21271393643031
MAR,4.580964307748247,20.98523398886337,3.5701524324808407,1.3904575925110847,0.964132745319758,50.0,68.20809248554913,51.30434782608696,58.56079404466501
MAS,3.110366212397358,9.674377975223086,2.561874018508997,3.419047864518275,0.799084342028939,51.49700598802395,67.07317073170732,50.45871559633027,57.59162303664922
MAT,0.4255711315871508,0.181110788040368,0.2541002312169139,1.379256458418852,0.927943895504466,50.898203592814376,67.45562130177515,51.12107623318386,58.16326530612245
MCD,3.750276010661028,14.064570156139595,2.7829870441920783,0.9372177964237638,0.9547214341373294,48.80239520958084,67.45562130177515,49.56521739130435,57.14285714285714
MCHP,3.4520567473796984,11.916695787129704,1.8144939438686216,3.5943054517550364,0.942561995113095,44.91017964071856,61.25000000000001,44.54545454545455,51.578947368421055
MCK,32.980380361645324,1087.7054887988004,30.261148305465888,4.999735426247284,0.7361156412821612,53.59281437125748,72.43243243243244,56.30252100840336,63.35697399527187
MCO,35.503365927889924,1260.488992209655,34.542194638722066,7.3462905801764276,-1.3414689909080049,56.2874251497006,70.35175879396985,61.67400881057269,65.72769953051643
MDLZ,0.809261749359349,0.6549045789761538,0.572610231968893,0.8816551540314645,0.9711270078421728,48.80239520958084,65.21739130434783,47.72727272727273,55.11811023622048
MDT,10.603793620797044,112.4404391524561,10.468092083242755,12.20800768544296,-4.588630391755423,53.89221556886228,69.94818652849742,58.44155844155844,63.67924528301887
MET,1.4846544682171317,2.204198889997094,1.1561342980754896,1.461227941601268,0.9150422290909068,52.39520958083832,71.50537634408603,55.64853556485355,62.588235294117645
MGM,0.964788168979321,0.9308162110024708,0.6529545989730473,1.837310750704427,0.9464763621537944,47.00598802395209,63.125,46.118721461187214,53.29815303430079
MHK,11.311096820943355,127.9409112927549,9.69289628896518,7.755183543129903,0.6287413756883595,47.90419161676647,61.01694915254237,50.70422535211267,55.38461538461539
MKC,12.867622882561124,165.57571864781065,12.69087772886299,16.272741579009903,-12.739974828094828,49.40119760479042,64.51612903225806,53.81165919282511,58.679706601467
MLM,9.602698596435708,92.21182033398831,7.834467697371292,1.4662416085717092,0.9280076341363516,52.99401197604791,67.70186335403726,50.93457943925234,58.13333333333334
MMC,11.76621467072335,138.4438076775454,9.783135442666142,4.324197656380731,-1.436432315953248,50.0,70.17543859649122,50.84745762711864,58.96805896805897
MMM,24.12472783560099,582.0024931418212,23.84624444804553,17.72060647899445,-2.5899240743614573,45.20958083832336,62.35294117647059,47.11111111111111,53.67088607594936
MNST,0.8916884246754365,0.7951082467001616,0.6594544149388114,1.2462385453790692,0.9566330104664336,49.700598802395206,68.6046511627907,50.86206896551724,58.415841584158414
MO,1.6557601760875345,2.741541760717423,1.3585952416453733,2.4650362234448324,0.786852467707257,52.99401197604791,71.50537634408603,56.118143459915615,62.88416075650118
MOS,7.892078377307993,62.28490111357237,7.658130577376529,27.686325862354483,-8.980444087475096,52.69461077844312,69.36416184971098,53.333333333333336,60.30150753768844
MPC,21.664912665526504,469.3684408048908,21.08521149530517,13.6494780467539,-1.4765049236222705,47.90419161676647,64.67065868263472,48.4304932735426,55.38461538461539
MRK,3.2362110402825066,10.473061897246383,2.38887796219538,2.5091495801078265,0.950427142581886,47.30538922155689,64.12213740458014,39.436619718309856,48.837209302325576
MS,2.2272849065235847,4.960798054827774,1.4749859491604531,1.258882887492729,0.9732730533916903,50.0,68.0,51.73913043478261,58.76543209876544
MSFT,5.849137853251672,34.21241362634158,3.8739911101487294,0.9307298910651464,0.9354576566430584,47.60479041916168,65.47619047619048,48.458149779735685,55.69620253164557
MSI,149.7106409098635,22413.2760016421,148.06450374021105,33.364646901448815,-22.75628609182584,49.40119760479042,68.63905325443787,50.0,57.85536159600998
MTB,3.759522619242606,14.134010324596789,2.621519256737697,1.4262717583810611,0.9543976045657678,49.700598802395206,66.66666666666666,49.327354260089685,56.70103092783505
MTD,22.44303672506957,503.68989744282175,14.905553014947396,1.1910870761848884,0.9670403361053233,48.80239520958084,64.49704142011834,49.54545454545455,56.041131105398456
MU,28.116706019179915,790.5491573689881,27.59976747645361,28.097970546801747,-3.422728032374021,49.40119760479042,65.66265060240963,49.321266968325794,56.33074935400517
NAVI,3.7753562324546905,14.253314681934476,3.741913358918322,26.12418245178626,-7.234222035727441,46.40718562874252,63.69426751592356,45.04504504504504,52.770448548812666
NCLH,1.14795670064943,1.317804586565925,0.875391265350936,4.200706142418601,0.9235363863453524,54.19161676646706,70.11494252873564,54.7085201793722,61.46095717884131
NDAQ,0.9726144955867312,0.9459789570254312,0.6413928128107326,0.8582987226683795,0.97233890616239,60.17964071856288,80.10752688172043,60.81632653061224,69.1415313225058
NEE,15.247231479535872,232.4780677905497,14.955655326362862,19.978476777906867,-6.94116297079388,50.0,66.31016042780749,54.38596491228071,59.75903614457832
NEM,14.123758262370924,199.4805474538909,13.904526570220495,29.321700431933927,-6.022125277025006,52.39520958083832,69.23076923076923,55.021834061135365,61.31386861313869
NFLX,98.50524109823785,9703.282523821968,91.13116128629709,10.22152709330475,0.6244513220009,51.49700598802395,69.44444444444444,53.8793103448276,60.67961165048544
NI,1.089843445294859,1.1877587352521692,1.0101450442983138,2.773411977767727,0.8809547274632533,45.50898203592814,67.03296703296702,50.0,57.27699530516433
NKE,13.22028699555179,174.77598824475578,10.658534813550986,16.045527055519425,-1.5049838505124824,64.67065868263472,66.55948553054662,93.66515837104072,77.81954887218046
NOC,9.24175623705776,85.410058345196,6.529169107408649,1.334633148330455,0.8956080994792405,50.59880239520959,66.66666666666666,53.98230088495575,59.65770171149144
NOV,5.125636317348847,26.272147657725448,5.050631297307421,32.46926840773312,-5.651124789231716,52.69461077844312,65.83850931677019,50.717703349282296,57.2972972972973
NRG,71.45806516106067,5106.255076562394,60.39166772097839,58.71529227847317,-14.595330311732436,46.40718562874252,69.34306569343066,40.94827586206897,51.490514905149055
NSC,3.7180051824183113,13.82356253648942,2.283778787719672,0.9411307856155724,0.936002953512308,48.20359281437126,64.45783132530121,48.41628959276018,55.29715762273901
NTAP,2.868450663172651,8.228009207055623,1.957792817272364,1.7215242089774017,0.9638693736614566,48.50299401197605,66.47398843930635,50.21834061135371,57.2139303482587
