Symbol,Price,Volume,Growth,Volatility,Seasonality,Sharpe Ratio,Max Drawdown
CNC,0.013827233346297759,0.019664002747841816,0.23702072800752538,0.2808763535252963,0.1273913809559727,0.33388078763304974,0.6539710224662062
CNP,0.008677225969985113,0.028449603015937304,0.42440863004445933,0.11015607027719687,0.1674842907261293,0.6720591568493268,0.922063025377724
COF,0.04942397703955045,0.017995232180194342,0.4926312365675416,0.40268186485122126,0.1171579404021016,0.6566833684831649,0.5264840318600441
COO,0.01700307122835723,0.02433048309293271,0.23870980552333038,0.2232681411243833,0.15414318301829283,0.3246046805833234,0.6132730806598246
COP,0.02158174966136019,0.06000232158180999,0.41333782448026574,0.39053319332768077,0.025133995264972286,0.5725839371912329,0.6452166732958406
COST,0.27769537169910014,0.015655156759538127,0.5449327626270792,0.11120105704314243,0.016274248796203983,0.8833153059131482,0.8033752089713951
COTY,1.0729182033984578e-05,0.023987291171532876,0.29087839085362616,0.6818027213290656,0.23352360285419638,0.45032015643228906,0.33946656104719897
CPB,0.007818891407266337,0.019035856660474477,0.18626085116227892,0.11994555177245603,0.0905166356839555,0.18495671754677834,0.6632560843982537
CRM,0.06986843340530825,0.036631425036371415,0.3530866530203579,0.4092674642398014,0.15548994145754808,0.5010547173942099,0.43380120993211624
CSCO,0.015597548381905236,0.07699585956347282,0.33142071941199075,0.1293138029423615,0.20193179724928118,0.4902484747319191,0.7067198758117034
CSX,0.007161729007684776,0.06849583812373809,0.3275910373066382,0.13774307601200403,0.3666174845490789,0.48107875421718466,0.8177647538971657
CTAS,0.059442350763783645,0.00661529787509735,0.5624534807000372,0.14741347393394566,0.03686272282719093,0.8746306256988745,0.9026958161826275
CVS,0.015865777932754854,0.039396072674255926,0.2622385159230221,0.23883904601480588,0.09534089868845837,0.3679544905988583,0.40815489847198927
CVX,0.035355337097488025,0.03804398191451011,0.3484671943243842,0.2208038408941193,0.0752247634440813,0.5069148547521936,0.752854185865669
DAL,0.011667985461958345,0.02702791645666648,0.3991407969800862,0.5202514155356553,0.290942195877439,0.5466328517078433,0.5779588313378736
DE,0.13448224990947252,0.004491442734858929,0.5464920441213394,0.24517004267867393,0.35385895424165803,0.779724921810804,0.7687377925371883
DG,0.024773681316470637,0.01520727382357707,0.1393843779373248,0.3210368904239168,0.06509464465109999,0.19373279674867555,0.22784529614083948
DGX,0.045183267840618005,0.004269585476978959,0.3470292103782844,0.10732465456426965,0.235172172964696,0.5246232651993937,0.8201794417992787
DHI,0.03035553826965117,0.012355819135322734,0.43372679775574197,0.37101751669861205,0.09576551271942339,0.5988505136269633,0.6226220150203209
DHR,0.04962514920268766,0.018990160203860493,0.3207660431055482,0.2044834976624742,0.6088258064365999,0.463280035680934,0.6775737571912064
DIS,0.029009025924386093,0.03811064960906675,0.2572790545517955,0.2782402660087303,0.24391003705486597,0.3648277978866183,0.40519444822799733
DLR,0.0446950900580717,0.01183221990965664,0.3053833004918964,0.24071405386452172,0.22954135201830717,0.43761697760778917,0.5363085491321908
DLTR,0.022898756756031813,0.013490932812135854,0.2543259833316205,0.4131433774060328,0.39017639423968875,0.38180659839007947,0.3489766454363117
DOV,0.04636616015986481,0.0038826882103436245,0.3953343211150543,0.15273749229451405,0.07425507355075596,0.6000414598444956,0.738559686674189
DRI,0.056145809583841855,0.0036780452064930553,0.4920643523194843,0.28852901577116974,0.2768461925687276,0.6895753753707635,0.8237873364960568
DTE,0.03534192561994555,0.003991520616444718,0.3496603334815126,0.06890975982854575,0.3000298084585372,0.5416134888474616,0.7928100414746817
DUK,0.030264340222362296,0.023688435264130954,0.32900501499756757,0.044829428436784335,0.14071061492094655,0.5021651547185341,0.8788180901224122
DVA,0.0352373160951142,0.002921969462261721,0.3796050619666683,0.34311319827863074,0.056128711692353075,0.5407639389383421,0.5363202591136821
DVN,0.006804983705054787,0.05392109203383486,0.4783150820413971,0.6168512530671854,0.03709819809427169,0.6124649437890792,0.33778675499193866
DXC,0.002765446669259552,0.0060725173095000275,0.2731466778442268,0.578964424255348,0.10501527532953685,0.42680916011926434,0.3101190067210413
EA,0.03725440231750332,0.016110100182453672,0.2995609592354644,0.15679903978771564,0.38991347720539243,0.427951270243569,0.8155019875360747
EBAY,0.018314713732011857,0.025127591348120728,0.3692037006230014,0.29368603631031787,0.056756235943411865,0.5293138447523817,0.49233773425133176
ECL,0.06993549079302067,0.006928019485718695,0.31668918822652226,0.1674170897618089,0.04669747775973701,0.4583341449306331,0.6295003549199393
ED,0.026715663264621863,0.018642529575647073,0.3361607581498737,0.05522606567339938,0.19069558139752724,0.5158465657872074,0.9327341659454738
EFX,0.0695519225353057,0.002569371566748123,0.38064220025700873,0.30917494496035014,0.22634870283574893,0.542141844422328,0.5591759356016355
EIX,0.013615332001126565,0.017858992711589354,0.25463885039296597,0.1744545993503155,0.48565951171497973,0.3446549918939472,0.6420435894349498
EL,0.01664364363021874,0.013299494810896465,0.06858246092545336,0.4415701090443672,0.048476601422862566,0.13385338416135906,0.05308249276464028
EMN,0.019709507396429866,0.02856983250753065,0.2945436340837403,0.27592859096889666,0.21439233321043616,0.42243220633341677,0.5934071006813428
EMR,0.030709601276772663,0.011610861180417436,0.4144448934871131,0.2002926009988779,0.10471992057442513,0.6145151935787216,0.812020348787198
EOG,0.0278100398320883,0.016053027662639517,0.4280457424331001,0.4499168977564839,0.03271585077255509,0.5814641834005885,0.583246707119625
EQIX,0.23709614688250205,0.002348886764222555,0.31349800798428945,0.2115161821497712,0.2343808121980429,0.4507152247913433,0.6501157570420628
EQR,0.017501978192937518,0.008804799627134213,0.2954244262270101,0.17329790353906838,0.15006045547331792,0.4191467404811737,0.6473852058157665
EQT,0.013475852634684763,0.02301288390812194,0.6078345399074269,0.6166278049098696,0.08726172405692964,0.7137375303246838,0.6464300586909366
ES,0.016072314686909058,0.01642651571011203,0.2126606340697997,0.1291422379389024,0.07819413697585988,0.24736667091848638,0.6270413600030197
ESS,0.07483872698255166,0.0018908470580019992,0.29575973759934693,0.18233373703888234,0.11928691772777132,0.4202109657282158,0.6139774012138934
ETN,0.08457545967839276,0.01080325679511205,0.574652011117784,0.2343180310223033,0.02039698730236312,0.8229021804429224,0.7599278359113629
ETR,0.021026514491101485,0.01159248469395444,0.36965911159261683,0.1274269631019732,0.07159272969282934,0.5622710516684566,0.8325996304168302
EW,0.01966927296380242,0.0266008245675731,0.27771078474681365,0.3228729753640036,0.19795265222463865,0.40571764316785275,0.4924532522908458
EXC,0.010442176414575594,0.06231981005121793,0.36402004135521465,0.099514183780263,0.16048668993372367,0.5610164099731111,0.7818216237324256
EXPD,0.02892587476362271,0.007154546695625133,0.3511344755658899,0.16013680472095865,0.15921128014341102,0.5207520031428534,0.7420345177101529
EXPE,0.043415635100519025,0.005848783061255721,0.4198543470343944,0.5697269600060617,0.617818951053029,0.5644006023998471,0.40327494874045233
EXR,0.039231254107264996,0.00378221667012143,0.35667699873018954,0.22442789227131843,0.12572000068445388,0.5193902869059303,0.48944867202416376
F,0.0014725802341643982,0.4564859666319885,0.3890001131945275,0.4680970754496204,0.09699031156273336,0.5401713776118302,0.33992010589710864
FAST,0.009776967128468546,0.02243178571043091,0.42103142436142393,0.7566177237526319,0.1029362559423109,0.5420486955931837,0.5499643075542989
FCX,0.009009830613038637,0.05120482870276607,0.5973603306213492,0.5725055217752952,0.17911231333198635,0.714339045998082,0.5283278005444144
